Title     	Group 	Last Updated 	
	147 - We Want to Talk on the School Trip, Day 1, Part 2 	Zaibatsu 	7 hours ago 	
	146 - We Want to Talk on the School Trip, Day 1, Part 1 	Zaibatsu 	2021-10-20 	
	145 - We Want to Talk About Plans for the School Trip 	Zaibatsu 	2021-10-13 	
	144 - We Want to Talk About How to Escort 	Zaibatsu 	2021-10-07 	
	143 - We Want to Talk About Imaginary Dates 	Zaibatsu 	2021-09-30 	
	142 - We Want to Talk About Men’s Competitions 	Zaibatsu 	2021-09-22 	
	141 - We Want to Talk About Cherry Stems 	Zaibatsu 	2021-09-15 	
	140 - We Want to Talk About Sleeping Beauty on the Bench 	Zaibatsu 	2021-09-10 	
	139 - We Want to Talk About NTR 	Zaibatsu 	2021-08-31 	
	138 - We Want to Talk About How To Avoid Love Stories 	Zaibatsu 	2021-08-24 	
	137 - We Want to Talk About Guys Who Work Out 	Zaibatsu 	2021-08-03 	
	136 - We Want to Talk About Pranks 	Zaibatsu 	2021-07-19 	
	135 - We Want to Talk About What We Realized 	Zaibatsu 	2021-07-12 	
	134 - We Want to Talk About Broken Bone Situations 	Zaibatsu 	2021-07-05 	
	133 - We Want to Talk About First Kisses 	Zaibatsu 	2021-06-29 	
	132 - We Want to Talk at the Start of the New Semester 	Zaibatsu 	2021-06-21 	
	131 - We Want to Talk About Karen's Post-Graduation Plans 	Zaibatsu 	2021-06-14 	
	130 - We Want to Talk about Ultra Spicy Ramen 	Zaibatsu 	2021-06-07 	
	129 - We Want to Talk at Hatsumōde 	Zaibatsu 	2021-06-01 	
	128 - We Want to Talk at the TG Club Training Camp 	Zaibatsu 	2021-05-25 	
	127 - We Can't Talk on December 27 	Zaibatsu 	2021-05-09 	
	126 - We Want to Talk at the End of the Semester 	Zaibatsu 	2021-04-27 	
	125 - I Can't Talk on Christmas Eve 	Zaibatsu 	2021-04-19 	
	124 - The Shiptrash Says too Much 	Zaibatsu 	2021-04-12 	
	123 - We Want to Talk About Choosing Presents 	Zaibatsu 	2021-04-05 	
	122 - We Want to Talk About the President's Health 	Zaibatsu 	2021-03-27 	
	121 - We Want to Talk About the President's Condition 	Zaibatsu 	2021-03-20 	
	120 - We Want to Talk About the Christmas Party 	Zaibatsu 	2021-03-13 	
	119 - We Want to Talk About the Smell of Perfume 	Zaibatsu 	2021-03-06 	
	118 - We Want to Talk on the Way Back from School 	Zaibatsu 	2021-03-01 	
	117 - We Want to Talk About Christmas Plans 	Zaibatsu 	2021-02-20 	
	116 - We Want to Talk About Rare Kaguya-sama 	Zaibatsu 	2021-02-05 	
	115 - We Want to Talk at the Culture Festival, Day 2, Part 6 	Zaibatsu 	2021-01-31 	
	114 - We Want to Talk at the Culture Festival, Day 2, Part 5 	Zaibatsu 	2021-01-24 	
	113 - We Want to Talk at the Culture Festival, Day 2, Part 4 	Zaibatsu 	2021-01-08 	
	112 - We Want to Talk at the Culture Festival, Day 2, Part 3 	Zaibatsu 	2020-12-26 	
	111 - We Want to Talk at the Culture Festival, Day 2, Part 2 	Zaibatsu 	2020-12-19 	
	110 - We Want to Talk at the Culture Festival, Day 2, Part 1 	Zaibatsu 	2020-12-11 	
	109 - We Want to Talk at the Culture Festival, Day 1, Part 4 	Zaibatsu 	2020-12-04 	
	108 - We Want to Talk at the Culture Festival, Day 1, Part 3 	Zaibatsu 	2020-11-29 	
	107 - We Want to Talk at the Culture Festival, Day 1, Part 2 	Zaibatsu 	2020-11-20 	
	106 - We Want to Talk at the Culture Festival, Day 1, Part 1 	Zaibatsu 	2020-11-14 	
	105.5 - We Want to Talk About Men's Fashion 	Zaibatsu 	2021-03-08 	
	105 - We Want to Talk with the Club President 	Zaibatsu 	2020-10-29 	
	104 - We Want to Talk About the Legend of the Devoted Heart 	Zaibatsu 	2020-10-26 	
