 	Title     	Group 	Last Updated
	241 - Un’yo Shinomiya Can’t Talk 	Zaibatsu 	6 days ago 	
	240 - Kaguya-sama Wants to Dance 	Zaibatsu 	2021-10-07 	
	239 - Adolphe Pescarolo Wants to Protect 	Zaibatsu 	2021-10-02 	
	238 - Yu Ishigami Wants to Invite 	Zaibatsu 	2021-09-22 	
	237 - Miyuki Shirogane Doesn’t Want to Put It In 	Zaibatsu 	2021-09-16 	
	236 - Kaguya-sama Wants to Stay The Night 	Zaibatsu 	2021-09-02 	
	235 - Chika Fujiwara Wants to Date 	Zaibatsu 	2021-08-26 	
	234 - Kaguya Shinomiya’s Impossible Challenge: “The Buddha’s Stone Begging Bowl” (Part 9) 	Zaibatsu 	2021-08-19 	
	233 - Kaguya Shinomiya’s Impossible Challenge: “The Buddha’s Stone Begging Bowl” (Part 8) 	Zaibatsu 	2021-08-05 	
	232 - Kaguya Shinomiya’s Impossible Challenge: “The Buddha’s Stone Begging Bowl” (Part 7) 	Zaibatsu 	2021-07-29 	
	231.1 - Vol 23 Extras 	Zaibatsu 	2021-09-06 	
	231 - Kaguya Shinomiya’s Impossible Challenge: “The Buddha’s Stone Begging Bowl” (Part 6) 	Zaibatsu 	2021-07-15 	
	230 - Kaguya Shinomiya’s Impossible Challenge: “The Buddha’s Stone Begging Bowl” (Part 5) 	Zaibatsu 	2021-07-08 	
	229 - Kaguya Shinomiya’s Impossible Challenge: “The Buddha’s Stone Begging Bowl” (Part 4) 	Zaibatsu 	2021-07-01 	
	228 - Kaguya Shinomiya’s Impossible Challenge: “The Buddha’s Stone Begging Bowl” (Part 3) 	Zaibatsu 	2021-05-27 	
	227 - Miko Iino Wants to Console 	Zaibatsu 	2021-05-20 	
	226 - Kaguya Shinomiya’s Impossible Challenge: “The Buddha’s Stone Begging Bowl” (Part 2) 	Zaibatsu 	2021-05-13 	
	225 - Hikaru Oobayashi Wants to Protect 	Zaibatsu 	2021-04-22 	
	224 - Chika Fujiwara Wants to Teach 	Zaibatsu 	2021-04-15 	
	223 - Chika Fujiwara Refuses to Acknowledge 	Zaibatsu 	2021-04-09 	
	222 - Kaguya Shinomiya’s Impossible Challenge: “The Jeweled Branch of Hourai” 	Zaibatsu 	2021-04-01 	
	221.1 - Vol 22 Extras 	Zaibatsu 	2021-06-11 	
	221 - Kaguya-sama Wants to Talk 	Zaibatsu 	2021-03-25 	
	220 - The ABCs of Men and Women, Part 6 	Zaibatsu 	2021-03-11 	
	219 - The ABCs of Men and Women, Part 5 	Zaibatsu 	2021-03-04 	
	218 - The ABCs of Men and Women, Part 4 	Zaibatsu 	2021-02-25 	
	217 - The ABCs of Men and Women, Part 3 	Zaibatsu 	2021-02-18 	
	216 - Kaguya and the Girls Want to Talk 	Zaibatsu 	2021-02-04 	
	215 - The ABCs of Men and Women, Part 2 	Zaibatsu 	2021-01-28 	
	214 - Kaguya-sama Hates Cats 	Zaibatsu 	2021-01-21 	
	213 - Senpai-kun and Kouhai-chan, Part 4 	Zaibatsu 	2021-01-07 	
	212 - Mikado Shijo Wants to Fit In 	Zaibatsu 	2020-12-24 	
	211.1 - Vol 21 Extras 	Zaibatsu 	2021-03-19 	
	211 - Kaguya-sama Wants to Sit 	Zaibatsu 	2020-12-10 	
	210 - Chika Fujiwara Really, Really, Really Wants to Eat 	Zaibatsu 	2020-12-03 	
	209 - Dreams 	Zaibatsu 	2020-11-26 	
	208 - The Shirogane Family 	Zaibatsu 	2020-11-19 	
	207 - Kei Shirogane Wants to be Welcoming 	Zaibatsu 	2020-11-05 	
	206 - Miyuki Shirogane Isn’t Depressing 	Zaibatsu 	2020-10-29 	
	205 - Chika Fujiwara Wants to Make Him Laugh 	Zaibatsu 	2020-10-21 	
	204 - Tsubame Koyasu and Yu Ishigami: Part 2 	Zaibatsu 	2020-10-15 	
	203 - Tsubame Koyasu and Yu Ishigami: Part 1 	Zaibatsu 	2020-10-07 	
	202 - Shuchiin Academy Wants to See Them Off 	Zaibatsu 	2020-10-01 	
	201.1 - Vol 20 Extras 	Zaibatsu 	2020-12-07 	
	201 - Tsubame Koyasu Wants to Overwrite 	Zaibatsu 	2020-09-23 	
	200 - Chika Fujiwara Wants a Celebration 	Multiple Groups 	2020-09-11 	
	199 - Kaguya-sama Wants to be Heard 	Fans Scans | Jaimini's~Box~ 	2020-08-31 	
	198 - Kaguya Shinomiya's Impossible Challenge: "The Swallow's Cowry" (Part 6) 	Fans Scans | Jaimini's~Box~ 	2020-08-21 	
	197 - The Shirogane family wants to move 	Fans Scans | Jaimini's~Box~ 	2020-08-06 	
	196 - Ai Hayasaka Wants to Find 	Fans Scans | Jaimini's~Box~ 	2020-08-03 	
	195 - Valentine's at Shuchiin, Part 2 	Fans Scans | Jaimini's~Box~ 	2020-07-16 	
	194 - Valentine's at Shuchiin, Part 1 	Fans Scans | Jaimini's~Box~ 	2020-07-02 	
	193 - Miyuki Shirogane Wants to Console 	Fans Scans | Jaimini's~Box~ 	2020-06-25 	
	192 - Kobachi Osaragi Is Watching 	Fans Scans | Jaimini's~Box~ 	2020-06-18 	
	191.1 - Vol 19 Extras 	NotJag 	2020-07-21 	
	191 - Kaguya Shinomiya's Impossible Challenge: "The Swallow's Cowry", Part 5 	Fans Scans | Jaimini's~Box~ 	2020-06-04 	
	190 - Senpai-kun and Kouhai-chan, Part 3; Miko Iino Cannot Love, Part 5 	Fans Scans | Jaimini's~Box~ 	2020-05-28 	
	189 - Kaguya Shinomiya's Impossible Challenge: "The Buddha's Stone Begging Bowl" 	Fans Scans | Jaimini's~Box~ 	2020-05-21 	
	188 - Miko Iino Can't Make Him Answer 	Multiple Groups 	2020-05-22 	
	187 - Ai Hayasaka and Kaguya Shinomiya's Friends 	Fans Scans | Jaimini's~Box~ 	2020-04-30 	
	186 - Ai Hayasaka's Friends, Part 5 	Fans Scans | Jaimini's~Box~ 	2020-04-23 	
	185 - Ai Hayasaka's Friends, Part 4 	Fans Scans | Jaimini's~Box~ 	2020-04-16 	
	184 - Ai Hayasaka’s Friends, Part 3 	Fans Scans | Jaimini's~Box~ 	2020-04-09 	
	183 - Ai Hayasaka’s Friends, Part 2 	Fans Scans | Jaimini's~Box~ 	2020-03-26 	
	182 - Ai Hayasaka's Friends, Part 1 	Fans Scans | Jaimini's~Box~ 	2020-03-19 	
	181.1 - Vol 18 Extras 	/a/nonymous 	2020-07-03 	
	181 - Miyuki Shirogane Wants to Keep Her for Himself 	Fans Scans | Jaimini's~Box~ 	2020-03-12 	
	180 - Miyuki Shirogane Wants to Go Around 	Fans Scans | Jaimini's~Box~ 	2020-03-05 	
	179 - Ai Hayasaka's Morning Routine 	Fans Scans | Jaimini's~Box~ 	2020-02-25 	
	178 - Senpai-kun and Kouhai-chan, Part 2 	Multiple Groups 	2020-02-22 	
	177 - Kaguya Shinomiya's Impossible Challenge: "The Swallow's Cowry" (Part 4) 	Fans Scans | Jaimini's~Box~ 	2020-02-06 	
	176 - Yu Ishigami Wants to Show Off 	Fans Scans | Jaimini's~Box~ 	2020-01-30 	
	175 - Kaguya Wants His Attention 	Fans Scans | Jaimini's~Box~ 	2020-01-23 	
	174 - Miko Iino Cannot Love, Part 4 	Fans Scans | Jaimini's~Box~ 	2020-01-09 	
	173 - Chika Fujiwara Wants to Tie 	Multiple Groups 	2019-12-27 	
	172.1 - Kagukoku: Miyuki and His Girls 	Fans Scans | Jaimini's~Box~ 	2019-12-27 	
	172 - Kaguya Wants to Trust 	Fans Scans | Jaimini's~Box~ 	2019-12-13 	
	171.1 - Vol 17 Extras 	Fans Scans | Jaimini's~Box~ 	2020-03-25 	
	171 - We Want to Talk About the Tabletop Gaming Club 	Fans Scans | Jaimini's~Box~ 	2019-12-05 	
	170 - Miyuki Shirogane Wants to Talk 	Fans Scans | Jaimini's~Box~ 	2019-11-28 	
	169 - The ABCs of Men and Women, Part 1 	Multiple Groups 	2019-11-23 	
	168 - First Encounter 	Fans Scans | Jaimini's~Box~ 	2019-11-07 	
	167 - Nagisa Kashiwagi Wants to Drag It out of Her 	Fans Scans | Jaimini's~Box~ 	2019-11-01 	
	166 - Yu Ishigami Wants to Get Hooked 	Multiple Groups 	2019-10-26 	
	165 - Senpai-kun and Kouhai-chan, Part 1 	Multiple Groups 	2019-10-21 	
	164 - Chika Fujiwara Wants to Love 	Multiple Groups 	2019-10-14 	
	163 - Chika Fujiwara Wants to Surprise 	Multiple Groups 	2019-09-27 	
	162 - Student Council: New Game 	Multiple Groups 	2019-09-19 	
	161.1 - Vol 16 Extras 	Fans Scans | Jaimini's~Box~ 	2019-12-02 	
	161 - Maki Shijo Wants To Be Enlightened 	Multiple Groups 	2019-09-12 	
	160 - Kaguya..., Part 2 	Fans Scans | Jaimini's~Box~ 	2019-09-06 	
	159 - Kaguya..., Part 1 	Fans Scans | Jaimini's~Box~ 	2019-08-22 	
	158 - Miko Iino Cannot Love, Part 3 	Fans Scans | Jaimini's~Box~ 	2019-08-08 	
	157 - Chika Fujiwara Really, Really Wants to Eat 	Fans Scans | Jaimini's~Box~ 	2019-08-01 	
	156 - Miko Iino Cannot Love, Part 2 	Fans Scans | Jaimini's~Box~ 	2019-07-26 	
	155 - Kaguya Shinomiya's Impossible Challenge: "The Swallow's Cowry" (Part 3) 	Fans Scans | Jaimini's~Box~ 	2019-07-18 	
	154 - Kaguya Shinomiya's Impossible Challenge: "The Swallow's Cowry" (Part 2) 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	153 - The Swallow's Cowry (Ice) 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	152 - Nagisa Kashiwagi Wants to Conceal 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	151.1 - Vol 15 Extras 	Fans Scans | Jaimini's~Box~ 	2019-08-12 	
	151 - The First Kiss Never Ends 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	150 - A Normal Romance 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	149 - Kaguya Thinks It's Fine 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	148 - Kaguya Wants to Confess (Ice) 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	147 - Our Personas (Shirogane, Part 1) 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	146 - Our Personas (Kaguya, Part 1) 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	145 - Kaguya Wants to Eat (Ice) 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	144 - Kaguya Wants to Confide (Ice) 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	143 - Kaguya Wants To Be Noticed (Ice) 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	142 - Regarding Kaguya Shinomiya, Part 4 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	141.1 - Vol 14 Extras 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	141 - Regarding Kaguya Shinomiya, Part 3 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	140 - Miko Iino Wants to Talk 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	139 - Miyuki Shirogane Wants to Discuss 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	138 - Kaguya Wants to Explain 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	137 - The Shuchiin Afterparty 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	136 - Dual Confessions, Part 3 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	135 - Dual Confessions, Part 2 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	134 - Dual Confessions, Part 1 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	133 - Kaguya Wants to Confess, Part 3 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
	132 - Kaguya Wants to Confess, Part 2 	Fans Scans | Jaimini's~Box~ 	2019-07-16 	
